,HotelName,Date,Reputations,Comments,Purposes,companions
10,ストリングスホテル　名古屋,2021年06月,5,"
    大変満足でした。",レジャー,家族
11,ストリングスホテル　名古屋,2021年06月,5,"
    当日の午前中に荷物を預かっていただきましたので、身軽に観光が楽しめました。家族の記念旅行であったことを伝えておりましたら、ベッドの上にタオルで作ったスワンがで迎えてくれ、心のこもった対応が嬉しかったです。またチャペルのライトアップもとても素敵でした。何より、モーニングビュッフェがとても美味しく、スタッフの方々も終始気持ちの良い対応を頂きました。またぜひ、宿泊したいと思います。",レジャー,家族
12,ストリングスホテル　名古屋,2021年06月,5,"
    駅から少し離れますが、近くにスタバやコンビニ等があり便利な立地です。部屋は高級ホテルというよりはビジネスホテルに近いですが、トイレ・バス別を初め、全体的にモダンで洗練された印象を受けました。食事はシェフズキッチンで、夕食、朝食共にいただきましたが質が高く大変満足でした。総じて夕朝食ビュッフェをリーズナブルに楽しむにはとても良いホテルだとおもいました。",レジャー,友達
13,ストリングスホテル　名古屋,2021年06月,4,"
    お部屋をグレードアップしていただき、快適に過ごせました",レジャー,家族
14,ストリングスホテル　名古屋,2021年06月,5,"
    恋人とゆっくり過ごすために宿泊しました。お部屋はとても綺麗で、朝食のビュッフェは種類豊富でどれも美味しく満足でした。名古屋駅から少し歩きますが、軽い散歩になって良かったのかなと思います。機会があれば、また利用させていただきたいです。",レジャー,恋人
15,ストリングスホテル　名古屋,2021年06月,5,"
    お部屋でプリンセスアフタヌーンティーが堪能でき、プレートにhappy birthdayと書いていただけてとても嬉しかったです^ ^チェックアウトの際もお誕生日おめでとうございましたとお声をかけていただき、こちらで誕生日を過ごせてよかったと思いました。また機会があれば宿泊したいと思います。ありがとうございました^ ^",その他,家族
16,ストリングスホテル　名古屋,2021年06月,5,"
    大満足です本当にこの価格で泊まって良いのか？と思うくらい最高でした。こちらからの質問など何度も連絡させて頂きましたが、毎回丁寧に対応して頂き、誕生会も大成功でした。次行く時も絶対利用します。ありがとうございました。",その他,友達
17,ストリングスホテル　名古屋,2021年06月,4,"
    ご飯も美味しく、お部屋も綺麗でゆっくり出来ました。接客が素晴らしく、気持ちよく利用できました。また機会があれば利用させて頂きたいです。",レジャー,恋人
18,ストリングスホテル　名古屋,2021年06月,5,"
    以前よりアフタヌーンティーやコース料理の利用では来たことのあるホテルだったので、安心して予約することができました。皆さんの口コミで朝食を楽しみにしていたのですが、本当に美味しかったです。なかでもサラダの種類が豊富なのが気に入りました。桃のスムージーも美味しかったです。和洋の料理をコロナ禍で利用者も少なく2時間かけてゆっくり食事することが出来ました。24時間ステイを選んだので、部屋に持ち帰れたドリンクを持ってゆっくりくつろぐつもりです。部屋の椅子がワークチェアand無料Wi-Fiなのでパソコンでの作業も問題なくできました。近くには映画館、レストラン、ショッピングモール、マッサージ等があるので、チェックアウトの6時まで不自由なく過ごせます。駐車場も24時間以上になってしまいますが、無料にしてもらえました。部屋から、新幹線、在来線が近くに見えるので、乗り物好きじゃなくても、楽しめました。騒音は全くしません。ホテルスタッフの教育もキチンとされています。雨が降っていたのですが、傘を預かってくれました。スタッフ皆さんが挨拶をしてくれるので、とても気持ちよく過ごせています。3人朝食付きで20000円だったので大変満足しています。",レジャー,家族
19,ストリングスホテル　名古屋,2021年06月,4,"
    駅から少し歩くので、シャトルバスが再開してくれるとより便利です。",レジャー,家族
20,ストリングスホテル　名古屋,2021年06月,5,"
    名古屋駅から近くて、サービス面も設備もとても素敵なホテルでした。コンビニもすぐ近くにファミリーマートがあるので便利ですが、すぐ隣にあるZeppのイベント前後は人混みがすごいので注意が必要です。。",レジャー,友達
21,ストリングスホテル　名古屋,2021年06月,4,"
    角部屋にて宿泊しました。サービス面や食事が美味しく快適に過ごさせていただきました。名古屋駅から歩く場合は、少し歩くので、歩くのが苦にならなければ良いかなと思いました。",ビジネス,一人
22,ストリングスホテル　名古屋,2021年06月,4,"
    アップグレードのプランで部屋を決める際、景色の良い部屋が良いという希望に親身に応えてくださいました。ありがとうござました。",レジャー,恋人
23,ストリングスホテル　名古屋,2021年06月,5,"
    立地、快適さ、接客ともに最高です。お部屋もすごくキレイで本当に気持ちよく過ごせました。また利用します！",レジャー,一人
24,ストリングスホテル　名古屋,2021年06月,5,"
    別のプランで一泊した夜に急遽もう一泊、連泊の形で泊まりました。いきなりだったにもかかわらず同じ部屋にそのまま連泊できるようにしてくださるなど、スムーズで素晴らしい対応でした。ニューヨークラウンジでのアフタヌーンティーはチャペルが見える豪華なソファ席でとても優雅な時間を味わえました。朝食も健康志向でよかったです。夜になって窓から見える景色は夜景の中にライトアップされたチャペル、その後ろを走る新幹線、どれだけ見ていても見飽きない素晴らしいものでした。シャワーの向きなどちょっと使いづらいところもありましたが、とても満足できる宿泊でした。すでにまた予約をしてあるので今から楽しみです。プランの特典のポーラのアメニティセットが補充されなかったのでタオルを補充してくれた掃除の方に聞くと、「昨日の分はもう使っちゃったんですか？」と言われたのが意味がわからなかったです。連泊でも他のアメニティと違って特典として書いてあったのでつくものだと思ったのですが、タオルの交換しか指示されてないとのことでした。でも使ったかどうかは関係ないのではないかな",レジャー,家族
25,ストリングスホテル　名古屋,2021年06月,5,"
    子供が電車好きという事で宿泊させて頂きました。想像以上に電車が来て大変満足でした。また受付の応対良く、また機会があれば宿泊したいと思います。",レジャー,家族
26,ストリングスホテル　名古屋,2021年06月,4,"
    ご飯がおいしかったです！",レジャー,恋人
27,ストリングスホテル　名古屋,2021年06月,5,"
    恋人の誕生日に、ゆっくりするために宿泊しました！お互い忙しい日が続いたため、ルームサービスが充実しているこのプランは最適でした。また、楽天のクーポンがあったためストリングスホテルという良いホテルに安く泊まることができてよかったです。スタッフさんもとても優しく、気持ちの良い対応でした。しかし、特典であるアルコールセットのための部屋に栓抜きが置いていなかったこと、VODが無料なのに見れなかったことなど、イレギュラーなプランだったのか対応が行き届いてないなと感じる場面がありました。遅い時間に何度もフロントに連絡することになり、スタッフさんが優しいだけに申し訳ない気持ちになりました。ですが、お風呂は普段使わないようなシャワーがあったり、スキンケアアメニティはアメニティとは思えないほど保湿力があったり、さらには部屋にデリバリーされたカレーはとてもオシャレな味です美味しかったりして、楽しむことができました。幸せな時間をありがとうございました！",レジャー,恋人
28,ストリングスホテル　名古屋,2021年06月,5,"
    ブッフェディナーを選びましたが一品ごとの料理はコース料理に見劣りしない味のクオリティでとにかく美味しかった！窓側の景色の良い席が空き次第、店員さんのお気遣いで移動させて頂き、接客ともに満足でした！",ビジネス,仕事仲間
29,ストリングスホテル　名古屋,2021年06月,5,"
    6月5日から二連泊しました。ゆっくり過ごしたかったので、こちらのホテルを選びましたが、大正解でした。建物も綺麗で、ホテル内でゆっくり快適に、とても良い時間を過ごせました。チャペルの見える席での朝食は非常に満足度が高かったです。また必ず来たいと思います。",レジャー,恋人
30,ストリングスホテル　名古屋,2021年06月,5,"
    恋人の誕生日をサプライズでお祝いするために利用しました。宿泊前からお花やチェックインの相談にのってくださり、大成功でした！サービスも良くて満足です！ありがとうございました！",レジャー,恋人
31,ストリングスホテル　名古屋,2021年06月,5,"
    チャペルが見える部屋にアップグレードして頂き、朝食も窓際の景色がいい席で非常に良かったです。",その他,恋人
32,ストリングスホテル　名古屋,2021年06月,5,"
    友達の誕生日サプライズで利用させていただきました。かわいいタオルアートや、チャペルが見えるお部屋、豪華な朝食でとても喜んでいただけました！また是非利用させていただきたいです！",その他,友達
33,ストリングスホテル　名古屋,2021年06月,4,"
    今回初めての利用チェックインからチェックアウトまで24時間使えるという、ありそうでなかなか見なかったプランを見つけたので泊まってみたロビーはゴージャスで解放感がありましたお部屋は、他の方が書かれてる通り、ロビーのようなゴージャス感はありませんでしたが、きれいで清潔感がありました場所はささしまライブにあり、名駅からは少し離れてますが、こちらも開発が進んでおり、周辺にはいろんなお店があって楽しめました。モーニングはコロナで宿泊客が少なめだからか、種類が少ない印象でした。同じようなプランがあればまた泊まりたいです。",レジャー,恋人
34,ストリングスホテル　名古屋,2021年06月,5,"
    6月5日に利用しました。結婚14周年の記念で、コロナ禍なのでギリギリまで悩んでましたが。行ってよかったです。コース料理もゆっくりペースで出して頂けたので、主人と会話を楽しめました。部屋もグレードアップして頂き。口コミが良かったモーニングビュッフェも、本当に美味しくて、是非また行きたいです。チェックアウト時に雨になってて、名古屋駅まで歩くのに、どうしようと困っていたら、フロントの方がビニール傘を下さいました。おかげさまで濡れることなく駅まで行けて、本当に親切にして頂きありがとうございました。",レジャー,家族
35,ストリングスホテル　名古屋,2021年06月,2,"
    アップグレードをリクエストしていたが、２４時間スティで予約した事になっていた。チェックイン時に部屋の変更等で時間を取られた。",レジャー,家族
36,ストリングスホテル　名古屋,2021年06月,4,"
    フロントスタッフに清潔感があり、その上、丁寧な接客をしていただきました。お部屋の空調がちょうど良く、とても快適に過ごせました。お部屋からは教会が見え、素晴らしいビューイングです。",レジャー,恋人
37,ストリングスホテル　名古屋,2021年06月,5,"
    サプライズのために色々注文してしまったが、快く承諾してくれた！彼女も喜んでくれて、とても良かったです！",その他,恋人
38,ストリングスホテル　名古屋,2021年06月,3,"
    聖堂が見える部屋だったので、幸せそうな花嫁さんを見ることができました。夜のライトアップもとても綺麗でよかったのですが、レストランで頼んだコース料理が滞りがちで待ち時間が多く、不満が残りました。感染対策もしっかりしていましたので、もう少し食事がスムーズに進めばとてもよかったのにと残念でした。",レジャー,家族
39,ストリングスホテル　名古屋,2021年06月,4,"
    6／4に宿泊しました。コンビニも近く便利。朝食付きプランでしたが、とても美味しく、また利用したいと思います。",レジャー,恋人
40,ストリングスホテル　名古屋,2021年05月,5,"
    コロナでどこにも出かけられないため、ホテルステイしようと思い結婚記念日に利用させて頂きました。部屋もグレードアップしていただき、居心地よく過ごさせていただきました。ありがとうございました！",レジャー,家族
41,ストリングスホテル　名古屋,2021年05月,5,"
    5/31.6/1に利用しました14時半頃にホテルの前に居たらスタッフさんに声をかけていただき15時より前にチェックインをしていただきました、フロントの男性の方もとっても優しく気さくに話しかけてくださりとっても嬉しかったです！お部屋はチャペル側でとっても綺麗でした！朝食もとっても美味しかったのでまた機会がありましたら利用させていただきます！",レジャー,友達
42,ストリングスホテル　名古屋,2021年05月,4,"
    仕事にて連泊で利用だった為、洗濯機付きのお部屋を優先しましたが、部屋に設置してあるのでやはり快適、洗剤も置いてもらえ、アイロンも事前においていただきました。（アイロンは水漏れ？ありましたので、チェックしていただいた方がいいのかも？）空気清浄機は設置のホテルが多くなってきましたが、無料のミネラルウォーターやコーヒーマシンも便利でリラックス出来良かったです。部屋は特に広く感じませんでしたが、テーブルは広めでチェアとで食事出来良かったです。ソファは位置が奥にあったため使わなかった。部屋からの眺めは電車や新幹線等が見渡せました。日々荷物が多かったりしたのでペーパーバッグ等の配慮が良かったです。ありがとうございました。",ビジネス,家族
43,ストリングスホテル　名古屋,2021年05月,4,"
    脚質をアップグレードしていただきました。ソファもあって、スリッパも厚みがあって、バストイレ別なのもよかったです。ただ、シャワーカーテンが部屋干しした衣類のような匂いがしたところが残念でした。朝食のバイキングは種類豊富でどれもとってもおいしかったです。",その他,家族
44,ストリングスホテル　名古屋,2021年05月,4,"
    5月中旬に宿泊しました。総合的に笹島は名古屋っぽくない感じがあり、旅行感が出てよかったです。良かった点:モーニングビュッフェが美味しい！衛生面も手袋を渡されたり、席を離したりしてあるので安心して利用できました。設備も全体的に綺麗です。窓から見える景色は◎電車や名古屋駅を一望できて素敵でした。気になった点:受付の方の爪が長く髪もバサついていたので最初あれ？となりました。部屋は期待し過ぎていたのか、ビジネスホテルに近い印象。お風呂がユニットバスに近い狭さだったのでチェック不足ですがショック。また、他が綺麗な分トイレの手洗い場の水垢が少し気になりました。",レジャー,友達
45,ストリングスホテル　名古屋,2021年05月,5,"
    5月29日に宿泊しました！駅が近くて、夜ご飯にいくのにも便利です！また、建物がきれいです！",レジャー,恋人
46,ストリングスホテル　名古屋,2021年05月,5,"
    少し駅からは歩きますが、とにかく朝食が素晴らしく美味しかったです。従業員の方々の対応も素晴らしく、名古屋出張の際の常宿にしたいと思います。",ビジネス,一人
47,ストリングスホテル　名古屋,2021年05月,5,"
    ライブ終わりに宿泊させてもらいましたがZeppの目の前という立地がとにかく最高でした。部屋もきれいでゆっくりできて疲れていたのでとても良かったです。またライブにいく際は利用したいかなと思います。",レジャー,一人
48,ストリングスホテル　名古屋,2021年05月,4,"
    Zeppライブ利用目的で格安で宿泊できました。コスパはよかったけど、ホテルの(一般と併用)駐車場料金に多少の割引があってもよいかなぁ…と。立地とか利用範囲(出入庫可など)の優遇もあるからでしょうが、一般利用の料金ともう少し差があってもいいと思った。",レジャー,その他
49,ストリングスホテル　名古屋,2021年05月,5,"
    5月25日に宿泊しました。大聖堂の見える部屋で、食事もおいしかったです。コロナ禍ですが、対策はしっかりされており、安心して宿泊できました。",レジャー,友達
50,ストリングスホテル　名古屋,2021年05月,3,"
    食事の量が、男性には少なめなのかなと思いましたが、スタッフの方の対応もよく、満足です！",レジャー,恋人
51,ストリングスホテル　名古屋,2021年05月,5,"
    アリスのアフタヌーンティーがすごく魅力的で友達と一緒にアフタヌーンティー目当てで宿泊しましたが、接客も良くアフタヌーンティーも美味しく雰囲気も良くて大満足です。他にも魅力的なビュッフェがあるのでまた機会があれば行きたいと思います。",その他,友達
52,ストリングスホテル　名古屋,2021年05月,5,"
    初めて宿泊するホテルでしたが、すごくキレイで何度も周りを見渡すほどでした。接客も丁寧で安心できました。エヴァンゲリオンのビュッフェも料理が美味しくて雰囲気も良くて大満足です。機会があればまた宿泊したいと思います。",その他,友達
53,ストリングスホテル　名古屋,2021年05月,5,"
    とても綺麗なホテルでトレインビューのお部屋があり、電車好きなお子様がいれば最高のホテルです。",レジャー,家族
54,ストリングスホテル　名古屋,2021年05月,2,"
    子連れには向いていませんでした。まずチェックインのためフロントへ行くと、システムダウン中と言われ小一時間待たされました。電車好きな子供のためにトレインビューの部屋を利用しましたが、誰かの髪の毛やベッド下のメッセージカードなど見つけてしまいあまり良い気分ではありません。あと無料Wi-Fiは頻繁に混線します。ラウンジはすごく豪華なのですがそそくさとフロントへ誘導されてしまい、楽しめませんでした。ウエディング向けで、宿泊者とは隔離されている感じ。朝食メニューは普通、でも時間通りにオープンせず複数組が待たされる、子供の機嫌もあって全然食べられませんでした。(明らかに困ってるのにフォローなし)ウエディングを考えるカップルや、参列者の宿泊向けのホテルなんだと思いしらされました。",レジャー,その他
55,ストリングスホテル　名古屋,2021年04月,4,"
    スタッフさんがとても親切でした。ディナーも朝ごはんもとても豪華でした。お部屋はそこまで広くなかったですが、きれいでした！駅からバスはなかったので遠く感じました。",レジャー,恋人
56,ストリングスホテル　名古屋,2021年04月,5,"
    チャペルの写真撮影ツアーに宿泊した日に予約させて頂き、翌日参加しました。当日はホテルの方が写真撮影をして下さったり、すごく満足のいくツアーでした。",レジャー,友達
57,ストリングスホテル　名古屋,2021年04月,4,"
    夕食はホテル内で済ませ、朝食は付けてなかったのですが、周辺には食事場所があったので雨が降っていたこともあり、とても助かりました。中庭にはチャペルがあり夜間照明も映えて大変癒されました。ありがとうございました。",レジャー,家族
58,ストリングスホテル　名古屋,2021年02月,4,"
    近場で誕生日祝いを兼ねて宿泊することにし、利用させていただきました。ホテルから出ない予定だったので、食事を楽しみにしていました。シェフズキッチンで、夕食、朝食共にいただきました。夕食は、小さな子どもがおり、迷惑にならないか心配だったのですが、少し離れた席にしてくださるなど配慮いただき、記念日のお祝いもあり、とてもよかったです。ただ、朝食時は、人数も多くなっていたためか、子ども用の椅子が壊れたものしかなく、何度か交換してもらいましたが、結局壊れたもののままでした…。食事もおいしかったため、少し残念でした。",レジャー,家族
59,ストリングスホテル　名古屋,2021年03月,3,"
    ストングスホテルというブランド名、ホテルの外観、到着が遅かったので48時間滞在の特典に魅力を感じ予約をしました。期待が大きすぎたようです。フロントスタッフは電話で談笑中、後から来たスタッフが客がいると思っていなかったのか身だしなみを整えながらの登場。デラックスという割に・・・というお部屋でした。レインシャワーはお湯の出る部分がもう劣化しているのかあっちこっちに飛び、横にある洗面台までびっしょり。使い物になりませんでした。ユニットバス（特にシャワーカーテン）が苦手でトイレバス別という点もこのホテルを選んだ決め手でしたが（間取りを見て決めました）、ユニットバス特有の臭いもあり、シャワーカーテンもないものと思い込んでいたのでもう少し調べるべきでした。上の階に小さい子がいたのかずっとドタバタ走り回っていてとてもうるさく、いろいろ残念でした。",ビジネス,一人
60,ストリングスホテル　名古屋,2021年03月,5,"
    朝食を楽しみにして決めたホテルで、期待通りのステキな朝食を満喫できました。予約時に娘の誕生日だと伝えたのですが、ステキなディスプレイをしていただき、とっても幸せな誕生日を過ごさせていただけました。スタッフの方々も笑顔が素敵な方が多くて大変気に入りました。また記念日に利用したいと思います。",レジャー,家族
61,ストリングスホテル　名古屋,2021年03月,4,"
    名古屋周辺のホテルの中でも高級感があって気に入ったので、こちらで宿泊させて頂きました。フロントの方の対応は丁寧でした。デラックスツインでの予約だと、部屋からチャペルが見えると思い予約したのですが、見えるお部屋ではなかったみたいでとても残念でした、、。ドライヤーのフィルター部分に、ホコリが溜まっていた為使用しませんでした...。細かい所ではございますが、フィルターも掃除していただければと思います。今回は利用しませんでしたが、アフタヌーンティーも気になったので、名古屋に行く機会があれば、食事もしたいと思いました！ ありがとうございました！",レジャー,友達
62,ストリングスホテル　名古屋,2021年03月,5,"
    突然の依頼にも係わらず心遣いをいただき本当にありがとうました。また泊まってみたい。そう思えるホテルだと思います。",レジャー,恋人
63,ストリングスホテル　名古屋,2021年03月,5,"
    とても良いホテルでした。",レジャー,友達
64,ストリングスホテル　名古屋,2021年03月,5,"
    電車好きな子供を連れて宿泊させていただきました。部屋から眺められる電車の数が非常に多く、0歳・3歳児は大興奮でした。名古屋駅からは遠く子供の足で歩くのは厳しいですが、ホテル付近にはコンビニ、ファミレス、ドラッグストアがすぐ近くにあり、子連れにはとても助かる立地でした。また子供用にアメニティや毛布等も快く貸していただき、嬉しかったです。朝食もとても美味しかったです！",レジャー,家族
65,ストリングスホテル　名古屋,2021年02月,4,"
    チェックイン時間から48時間滞在できるのが魅力でこちらのプランを選びました。客室自体はビジネスホテルレベルですが、宿泊するだけが目的であれば問題ないかと思います。サービス（接客の対応）は丁寧で満足しています。",レジャー,恋人
66,ストリングスホテル　名古屋,2021年02月,5,"
    移動で疲れきっていましたが、エントランスでの雰囲気の良い照明や香りに癒され、またベッドも心地よく熟睡できました。清潔感を求める方にも大変オススメです。",レジャー,家族
67,ストリングスホテル　名古屋,2021年02月,5,"
    結婚記念日に利用させていただきました。お部屋も広く清潔で、朝ごはんのビュッフェも美味しく、大変満足です。また、機会があれば利用させていただきたいです。",レジャー,家族
68,ストリングスホテル　名古屋,2021年02月,4,"
    お部屋の広さは思っていたよりコンパクトでした。ベッドの保温性が良すぎるのか、暑さで汗をかいて目が覚めあまりよく寝られなかったです。マットレスの固さはとても丁度良かったのですが。貸出品ではなく備え付けでBluRayプレイヤーがあるのは珍しく、良いポイントだなと感じました。",レジャー,一人
69,ストリングスホテル　名古屋,2021年02月,5,"
    お部屋も最高で、お誕生日のタオルアートが、素晴らしかったです。部屋、トイレも広いのに、お風呂だけは少し小さく感じましたが、朝食バイキングも感染症対策ばっちりで、言うことなしです。立地もよく、アフタヌーンティーもよかったので、また行きたいです。",レジャー,友達
70,ストリングスホテル　名古屋,2021年02月,4,"
    入籍当日、思い出作りに近場に住んではいますが宿泊しました。入籍について事前に伝えていたためか、部屋はタオルアートのサービスや、チャペルが見えてとてもいい部屋でした！気になる点としては、水回りにはそこまで清潔感を感じない点、廊下の音はかなり聞こえる（外の新幹線の音はほぼ聞こえない）点です。チャペル付近は散策もでき、写真も取れました。ディナーは味も見た目もよかったです。低額のほうのプランなので量は多くなく腹6分目という感じでした。朝食もどれも美味しく、気になるものは全て食べきれてよかったです。昼からのビュッフェも気になったので、いつか行ってみたいなと思いました。",レジャー,恋人
71,ストリングスホテル　名古屋,2021年02月,5,"
    ２月１８日に１泊しました。コロナの問題でそれぞれ宿泊施設が努力されている時代だと思うのですが、とても高級感に満ちたいいプランだと思いました。とても美味しい食事で、それを部屋に持ち帰り、周りも気にせず家族で食べることができました。完全に個人的な話になってしまいますが、家族中にいわゆる海鮮ものが得意ではないものがおり、肉系のこのような高級なお重はとても満足できました。ここは車を使わないと少し行きにくい場所かな、と思うのですが、今回のプランでは駐車場の料金もサービスになるプランだったので車も使えて本当に便利でした。きちんとしたフロントの方の礼儀正しさも含め、とても満足できる宿泊でした。また似たようなプランがあって、タイミングが合えば利用したいです。",レジャー,家族
72,ストリングスホテル　名古屋,2021年02月,5,"
    マットレスがとてもよく、寝心地最高でした！アメニティもよかったです！",レジャー,恋人
73,ストリングスホテル　名古屋,2021年02月,5,"
    チャペルが見える素敵なお部屋を用意していただきました。チェックイン時に急遽朝食も頼んだのですが、快く対応してもらえました。ビュッフェ形式でしたが、感染対策もしっかりされていて楽しい時間を過ごせました。24時間滞在できるので、部屋でゆっくり過ごせて良かったです。また利用したいと思います。",その他,恋人
74,ストリングスホテル　名古屋,2020年12月,4,"
    綺麗な部屋で快適に過ごすことができました。",レジャー,恋人
75,ストリングスホテル　名古屋,2021年02月,4,"
    事前にメールのやり取りしてましたが、その時から印象が良い対応でした。お部屋もディナーも誕生日祝いと伝えてたので対応して頂けていて嬉しかったです。ただ、ディナーの時、隣のお席も誕生日祝いだった様で、自分順番が来る前にどんなサプライズされるかネタバレ……感動が薄れてしまったので、席とかもっと配慮して欲しかったなぁと思います。お部屋はチャペルの見えるお部屋に案内して貰えたので景色が良かったです。名駅からは歩きますが、近くにコンビニも飲食店もドラッグストアもあったので不自由しないと思います。あとは帰る時にホテルの入口のスタッフさんには何も挨拶すらして貰えなく感じ悪いなぁと思ってしまいましたね(苦笑)",その他,家族
76,ストリングスホテル　名古屋,2020年12月,5,"
    クリスマスに利用しました！デコレーションが綺麗で良かったです！また機会があれば利用しようと思います。",レジャー,恋人
77,ストリングスホテル　名古屋,2020年12月,5,"
    いつも綺麗なお部屋　ありがとうございます",レジャー,恋人
78,ストリングスホテル　名古屋,2020年12月,5,"
    最高なお部屋てした",レジャー,恋人
79,ストリングスホテル　名古屋,2021年01月,5,"
    幼児との宿泊ですが、細かい心遣いをしていただきとっても快適に宿泊できました。また利用したいです。ありがとうございます。",その他,家族
80,ストリングスホテル　名古屋,2021年02月,3,"
    記念日でしたが、喜んでもらえました！ありがとうございました！",レジャー,家族
81,ストリングスホテル　名古屋,2021年01月,5,"
    大切な人の大切な日を祝わせていただきました！素敵なデコレーションで喜んでもらえました！",レジャー,恋人
82,ストリングスホテル　名古屋,2021年01月,5,"
    誕生日の前日に宿泊しました。部屋に入ると、ベッドの上に可愛くハート型に作られたタオルアートと、メッセージカードが置いてありました。思わぬサプライズに、とても嬉しくて何枚も写真を撮ってしまいました(笑)。アフタヌーンティーも、お部屋でゆっくり味わいながら頂けて大満足でした。また、部屋からは大聖堂も見下ろせて、夜は雨になってしまいましたが、ガラス越しに雨粒がついていたので、ライトアップした大聖堂がより幻想的に見えて素敵でした。スタッフさんも、みな笑顔で対応もとても良かったです。色々とありがとうございました。",その他,一人
83,ストリングスホテル　名古屋,2020年12月,4,"
    ルームサービスでいただいたアフタヌーンティーセット、ラウンジで提供しているのと同じでとてもお洒落で素敵でした。年末年始、御部屋から綺麗な景色が見えるホテルでゆっくり出来、元旦にお節を持ち帰れるプランで、家に帰ってからもゆっくりお正月を楽しめて最高でした。密にならないよう配慮も有り、是非又、こんなプランを利用したいです！",レジャー,家族
84,ストリングスホテル　名古屋,2020年12月,3,"
    サービスは良かったですが、部屋の壁や椅子は穴があり、加湿器も汚れていました。外の眺めは素晴らしかったです。食事は予約した時間通りに行ったにも関わらず30分以上待たされました。味は満足でした。期待値が高かった分少し残念でした。",その他,恋人
85,ストリングスホテル　名古屋,2020年11月,4,"
    食事もおいしく、ホテルも綺麗で、家族でくつろげました。",レジャー,家族
86,ストリングスホテル　名古屋,2020年12月,3,"
    12/12-13で一泊二日で利用しました。結婚記念日のお祝いで利用させていただきましたか、レストランの席が大聖堂の目の前でとてもいい居場所でした。食事はよくあるレストランビュッフェでしたが、コロナ感染対策で一皿ずつ綺麗に盛り付けてあったのは嬉しかったです。部屋の壁が薄いのか、廊下の足音や他の部屋の声がとても気になりました。また、アメニティがないものがあり(歯ブラシ)フロントに夜中に対応いただくことがあったので、はじめから用意をしてもらえると助かります。",レジャー,家族
